GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0400000US01,01,Alabama,4874747,*****,4672777,2353,201970,2353
0400000US02,02,Alaska,739795,*****,688083,110,51712,110
0400000US04,04,Arizona,7016270,*****,4814097,*****,2202173,*****
0400000US05,05,Arkansas,3004279,*****,2780515,1357,223764,1357
0400000US06,06,California,39536653,*****,24059347,*****,15477306,*****
0400000US08,08,Colorado,5607154,*****,4400430,*****,1206724,*****
0400000US09,09,Connecticut,3588184,*****,3009351,*****,578833,*****
0400000US10,10,Delaware,961939,*****,872399,*****,89540,*****
0400000US11,11,District of Columbia,693972,*****,617446,*****,76526,*****
0400000US12,12,Florida,20984400,*****,15613540,461,5370860,461
0400000US13,13,Georgia,10429379,*****,9427907,3345,1001472,3345
0400000US15,15,Hawaii,1427538,*****,1277413,*****,150125,*****
0400000US16,16,Idaho,1716943,*****,1503324,555,213619,555
0400000US17,17,Illinois,12802023,*****,10595096,1564,2206927,1564
0400000US18,18,Indiana,6666818,*****,6205200,1780,461618,1780
0400000US19,19,Iowa,3145711,*****,2959965,1391,185746,1391
0400000US20,20,Kansas,2913123,*****,2567613,919,345510,919
0400000US21,21,Kentucky,4454189,*****,4299026,2309,155163,2309
0400000US22,22,Louisiana,4684333,*****,4440713,2482,243620,2482
0400000US23,23,Maine,1335907,*****,1314008,892,21899,892
0400000US24,24,Maryland,6052177,*****,5439468,502,612709,502
0400000US25,25,Massachusetts,6859819,*****,6048527,150,811292,150
0400000US26,26,Michigan,9962311,*****,9457913,804,504398,804
0400000US27,27,Minnesota,5576606,*****,5279940,938,296666,938
0400000US28,28,Mississippi,2984100,*****,2898065,3238,86035,3238
0400000US29,29,Missouri,6113532,*****,5857729,2366,255803,2366
0400000US30,30,Montana,1050493,*****,1011560,616,38933,616
0400000US31,31,Nebraska,1920076,*****,1710159,624,209917,624
0400000US32,32,Nevada,2998039,*****,2133376,*****,864663,*****
0400000US33,33,New Hampshire,1342795,*****,1292402,1243,50393,1243
0400000US34,34,New Jersey,9005644,*****,7165211,*****,1840433,*****
0400000US35,35,New Mexico,2088070,*****,1069726,*****,1018344,*****
0400000US36,36,New York,19849399,*****,16037745,476,3811654,476
0400000US37,37,North Carolina,10273419,*****,9310953,2657,962466,2657
0400000US38,38,North Dakota,755393,*****,728914,431,26479,431
0400000US39,39,Ohio,11658609,*****,11221847,1528,436762,1528
0400000US40,40,Oklahoma,3930864,*****,3513156,*****,417708,*****
0400000US41,41,Oregon,4142776,*****,3601852,*****,540924,*****
0400000US42,42,Pennsylvania,12805537,*****,11867109,1252,938428,1252
0400000US44,44,Rhode Island,1059639,*****,896293,578,163346,578
0400000US45,45,South Carolina,5024369,*****,4738379,942,285990,942
0400000US46,46,South Dakota,869666,*****,838388,818,31278,818
0400000US47,47,Tennessee,6715984,*****,6354781,2416,361203,2416
0400000US48,48,Texas,28304596,*****,17145845,144,11158751,144
0400000US49,49,Utah,3101833,*****,2667543,*****,434290,*****
0400000US50,50,Vermont,623657,*****,611725,812,11932,812
0400000US51,51,Virginia,8470020,*****,7679358,1672,790662,1672
0400000US53,53,Washington,7405743,*****,6464951,*****,940792,*****
0400000US54,54,West Virginia,1815857,*****,1793050,1672,22807,1672
0400000US55,55,Wisconsin,5795483,*****,5397636,619,397847,619
0400000US56,56,Wyoming,579315,*****,521193,*****,58122,*****
0400000US72,72,Puerto Rico,3337177,*****,30717,4712,3306460,4712
